Record Length,Analog:2000
Sample Interval,1.000000E-09
Vertical Units,V,
Vertical Scale,+5.000000E-01
Vertical Offset,-1.575000E+00
Horizontal Units,s
Horizontal Scale,+2.000000E-07
Model,SDS1204X HD
Serial Number,SDSEV82X900772
Software Version,6.9.13.1.1.6.7
Source,CH4
Second,Value
-8.4800000000E-07,+1.151042E+00
-8.4700000000E-07,+1.142708E+00
-8.4600000000E-07,+1.138542E+00
-8.4500000000E-07,+1.127083E+00
-8.4400000000E-07,+1.111458E+00
-8.4300000000E-07,+1.101042E+00
-8.4200000000E-07,+1.095833E+00
-8.4100000000E-07,+1.085417E+00
-8.4000000000E-07,+1.064583E+00
-8.3900000000E-07,+1.032292E+00
-8.3800000000E-07,+1.060417E+00
-8.3700000000E-07,+1.113542E+00
-8.3600000000E-07,+1.025000E+00
-8.3500000000E-07,+9.458333E-01
-8.3400000000E-07,+1.001042E+00
-8.3300000000E-07,+1.048958E+00
-8.3200000000E-07,+9.875000E-01
-8.3100000000E-07,+9.562500E-01
-8.3000000000E-07,+9.625000E-01
-8.2900000000E-07,+9.479166E-01
-8.2800000000E-07,+9.364583E-01
-8.2700000000E-07,+9.531250E-01
-8.2600000000E-07,+9.166666E-01
-8.2500000000E-07,+8.739583E-01
-8.2400000000E-07,+8.937500E-01
-8.2300000000E-07,+9.104166E-01
-8.2200000000E-07,+8.729166E-01
-8.2100000000E-07,+8.406249E-01
-8.2000000000E-07,+8.604167E-01
-8.1900000000E-07,+8.614583E-01
-8.1800000000E-07,+8.302083E-01
-8.1700000000E-07,+8.114583E-01
-8.1600000000E-07,+8.135417E-01
-8.1500000000E-07,+7.958333E-01
-8.1400000000E-07,+7.781250E-01
-8.1300000000E-07,+7.812500E-01
-8.1200000000E-07,+7.708333E-01
-8.1100000000E-07,+7.458333E-01
-8.1000000000E-07,+7.354167E-01
-8.0900000000E-07,+7.375000E-01
-8.0800000000E-07,+7.270833E-01
-8.0700000000E-07,+6.989583E-01
-8.0600000000E-07,+7.010417E-01
-8.0500000000E-07,+6.979166E-01
-8.0400000000E-07,+6.833333E-01
-8.0300000000E-07,+6.645833E-01
-8.0200000000E-07,+6.729167E-01
