Record Length,Analog:2000
Sample Interval,1.000000E-09
Vertical Units,V,
Vertical Scale,+5.000000E-01
Vertical Offset,+1.658333E+00
Horizontal Units,s
Horizontal Scale,+2.000000E-07
Model,SDS1204X HD
Serial Number,SDSEV82X900772
Software Version,6.9.13.1.1.6.7
Source,CH2
Second,Value
-1.0000000000E-06,-2.165625E+00
-9.9900000000E-07,-2.160417E+00
-9.9800000000E-07,-2.151042E+00
-9.9700000000E-07,-2.138542E+00
-9.9600000000E-07,-2.129167E+00
-9.9500000000E-07,-2.119792E+00
-9.9400000000E-07,-2.106250E+00
-9.9300000000E-07,-2.102083E+00
-9.9200000000E-07,-2.086458E+00
-9.9100000000E-07,-2.077083E+00
-9.9000000000E-07,-2.062500E+00
-9.8900000000E-07,-2.047917E+00
-9.8800000000E-07,-2.038542E+00
-9.8700000000E-07,-2.030208E+00
-9.8600000000E-07,-2.012500E+00
-9.8500000000E-07,-2.007292E+00
-9.8400000000E-07,-1.992708E+00
-9.8300000000E-07,-1.981250E+00
-9.8200000000E-07,-1.967708E+00
-9.8100000000E-07,-1.957292E+00
-9.8000000000E-07,-1.947917E+00
-9.7900000000E-07,-1.935417E+00
-9.7800000000E-07,-1.925000E+00
-9.7700000000E-07,-1.907292E+00
-9.7600000000E-07,-1.889583E+00
-9.7500000000E-07,-1.887500E+00
-9.7400000000E-07,-1.873958E+00
-9.7300000000E-07,-1.855208E+00
-9.7200000000E-07,-1.839583E+00
-9.7100000000E-07,-1.835417E+00
-9.7000000000E-07,-1.821875E+00
-9.6900000000E-07,-1.804167E+00
-9.6800000000E-07,-1.792708E+00
-9.6700000000E-07,-1.785417E+00
-9.6600000000E-07,-1.792708E+00
-9.6500000000E-07,-1.851042E+00
-9.6400000000E-07,-1.848958E+00
-9.6300000000E-07,-1.753125E+00
-9.6200000000E-07,-1.669792E+00
-9.6100000000E-07,-1.746875E+00
-9.6000000000E-07,-1.754167E+00
-9.5900000000E-07,-1.702083E+00
-9.5800000000E-07,-1.645833E+00
-9.5700000000E-07,-1.682292E+00
-9.5600000000E-07,-1.710417E+00
-9.5500000000E-07,-1.680208E+00
-9.5400000000E-07,-1.629167E+00
-9.5300000000E-07,-1.610417E+00
-9.5200000000E-07,-1.608333E+00
-9.5100000000E-07,-1.598958E+00
-9.5000000000E-07,-1.586458E+00
-9.4900000000E-07,-1.562500E+00
-9.4800000000E-07,-1.556250E+00
-9.4700000000E-07,-1.556250E+00
-9.4600000000E-07,-1.526042E+00
-9.4500000000E-07,-1.511458E+00
-9.4400000000E-07,-1.492708E+00
-9.4300000000E-07,-1.482292E+00
-9.4200000000E-07,-1.483333E+00
-9.4100000000E-07,-1.464583E+00
-9.4000000000E-07,-1.453125E+00
-9.3900000000E-07,-1.433333E+00
-9.3800000000E-07,-1.414583E+00
-9.3700000000E-07,-1.394792E+00
-9.3600000000E-07,-1.383333E+00
-9.3500000000E-07,-1.373958E+00
-9.3400000000E-07,-1.375000E+00
-9.3300000000E-07,-1.358333E+00
-9.3200000000E-07,-1.341667E+00
-9.3100000000E-07,-1.320833E+00
-9.3000000000E-07,-1.309375E+00
-9.2900000000E-07,-1.287500E+00
-9.2800000000E-07,-1.272917E+00
-9.2700000000E-07,-1.258333E+00
-9.2600000000E-07,-1.255208E+00
-9.2500000000E-07,-1.238542E+00
-9.2400000000E-07,-1.229167E+00
-9.2300000000E-07,-1.208333E+00
-9.2200000000E-07,-1.201042E+00
-9.2100000000E-07,-1.185417E+00
-9.2000000000E-07,-1.176042E+00
-9.1900000000E-07,-1.155208E+00
-9.1800000000E-07,-1.151042E+00
-9.1700000000E-07,-1.135417E+00
-9.1600000000E-07,-1.127083E+00
-9.1500000000E-07,-1.111458E+00
-9.1400000000E-07,-1.098958E+00
-9.1300000000E-07,-1.086458E+00
-9.1200000000E-07,-1.076042E+00
-9.1100000000E-07,-1.062500E+00
-9.1000000000E-07,-1.052083E+00
-9.0900000000E-07,-1.041667E+00
-9.0800000000E-07,-1.033333E+00
-9.0700000000E-07,-1.020833E+00
-9.0600000000E-07,-1.014583E+00
-9.0500000000E-07,-1.002083E+00
-9.0400000000E-07,-9.979167E-01
-9.0300000000E-07,-9.791667E-01
-9.0200000000E-07,-9.770834E-01
-9.0100000000E-07,-9.635417E-01
-9.0000000000E-07,-9.572917E-01
-8.9900000000E-07,-9.489584E-01
-8.9800000000E-07,-9.458334E-01
-8.9700000000E-07,-9.375001E-01
