Record Length,Analog:2000
Sample Interval,1.000000E-09
Vertical Units,V,
Vertical Scale,+5.000000E-01
Vertical Offset,+1.658333E+00
Horizontal Units,s
Horizontal Scale,+2.000000E-07
Model,SDS1204X HD
Serial Number,SDSEV82X900772
Software Version,6.9.13.1.1.6.7
Source,CH2
Second,Value
-1.0000000000E-06,-1.850000E+00
-9.9900000000E-07,-1.842708E+00
-9.9800000000E-07,-1.831250E+00
-9.9700000000E-07,-1.818750E+00
-9.9600000000E-07,-1.811458E+00
-9.9500000000E-07,-1.793750E+00
-9.9400000000E-07,-1.785417E+00
-9.9300000000E-07,-1.776042E+00
-9.9200000000E-07,-1.769792E+00
-9.9100000000E-07,-1.752083E+00
-9.9000000000E-07,-1.742708E+00
-9.8900000000E-07,-1.730208E+00
-9.8800000000E-07,-1.719792E+00
-9.8700000000E-07,-1.704167E+00
-9.8600000000E-07,-1.693750E+00
-9.8500000000E-07,-1.682292E+00
-9.8400000000E-07,-1.672917E+00
-9.8300000000E-07,-1.657292E+00
-9.8200000000E-07,-1.644792E+00
-9.8100000000E-07,-1.631250E+00
-9.8000000000E-07,-1.623958E+00
-9.7900000000E-07,-1.608333E+00
-9.7800000000E-07,-1.596875E+00
-9.7700000000E-07,-1.577083E+00
-9.7600000000E-07,-1.568750E+00
-9.7500000000E-07,-1.557292E+00
-9.7400000000E-07,-1.539583E+00
-9.7300000000E-07,-1.520833E+00
-9.7200000000E-07,-1.518750E+00
-9.7100000000E-07,-1.507292E+00
-9.7000000000E-07,-1.481250E+00
-9.6900000000E-07,-1.468750E+00
-9.6800000000E-07,-1.466667E+00
-9.6700000000E-07,-1.471875E+00
-9.6600000000E-07,-1.546875E+00
-9.6500000000E-07,-1.568750E+00
-9.6400000000E-07,-1.459375E+00
-9.6300000000E-07,-1.306250E+00
-9.6200000000E-07,-1.402083E+00
-9.6100000000E-07,-1.403125E+00
-9.6000000000E-07,-1.369792E+00
-9.5900000000E-07,-1.333333E+00
-9.5800000000E-07,-1.371875E+00
-9.5700000000E-07,-1.375000E+00
-9.5600000000E-07,-1.330208E+00
-9.5500000000E-07,-1.311458E+00
-9.5400000000E-07,-1.287500E+00
-9.5300000000E-07,-1.291667E+00
-9.5200000000E-07,-1.250000E+00
-9.5100000000E-07,-1.233333E+00
-9.5000000000E-07,-1.232292E+00
-9.4900000000E-07,-1.228125E+00
-9.4800000000E-07,-1.226042E+00
-9.4700000000E-07,-1.183333E+00
-9.4600000000E-07,-1.180208E+00
-9.4500000000E-07,-1.165625E+00
-9.4400000000E-07,-1.146875E+00
-9.4300000000E-07,-1.155208E+00
-9.4200000000E-07,-1.128125E+00
-9.4100000000E-07,-1.108333E+00
-9.4000000000E-07,-1.083333E+00
-9.3900000000E-07,-1.061458E+00
-9.3800000000E-07,-1.044792E+00
-9.3700000000E-07,-1.017708E+00
-9.3600000000E-07,-1.009375E+00
-9.3500000000E-07,-1.009375E+00
-9.3400000000E-07,-9.947917E-01
-9.3300000000E-07,-9.822917E-01
-9.3200000000E-07,-9.656250E-01
-9.3100000000E-07,-9.520834E-01
-9.3000000000E-07,-9.291667E-01
-9.2900000000E-07,-9.197917E-01
-9.2800000000E-07,-8.979167E-01
-9.2700000000E-07,-8.927084E-01
-9.2600000000E-07,-8.812500E-01
-9.2500000000E-07,-8.718750E-01
-9.2400000000E-07,-8.572917E-01
-9.2300000000E-07,-8.437500E-01
-9.2200000000E-07,-8.281250E-01
-9.2100000000E-07,-8.114583E-01
-9.2000000000E-07,-7.989584E-01
-9.1900000000E-07,-7.937500E-01
-9.1800000000E-07,-7.802083E-01
-9.1700000000E-07,-7.697917E-01
-9.1600000000E-07,-7.531250E-01
-9.1500000000E-07,-7.427084E-01
-9.1400000000E-07,-7.302084E-01
-9.1300000000E-07,-7.177084E-01
-9.1200000000E-07,-7.041667E-01
-9.1100000000E-07,-6.927084E-01
-9.1000000000E-07,-6.854167E-01
-9.0900000000E-07,-6.729167E-01
-9.0800000000E-07,-6.635417E-01
-9.0700000000E-07,-6.552083E-01
-9.0600000000E-07,-6.500000E-01
-9.0500000000E-07,-6.375000E-01
-9.0400000000E-07,-6.250000E-01
-9.0300000000E-07,-6.177084E-01
-9.0200000000E-07,-6.083333E-01
-9.0100000000E-07,-6.020833E-01
-9.0000000000E-07,-5.947917E-01
-8.9900000000E-07,-5.843750E-01
-8.9800000000E-07,-5.802084E-01
-8.9700000000E-07,-5.739584E-01
