Record Length,Analog:2000
Sample Interval,1.000000E-09
Vertical Units,V,
Vertical Scale,+2.000000E+01
Vertical Offset,+4.000000E+01
Horizontal Units,s
Horizontal Scale,+2.000000E-07
Model,SDS1204X HD
Serial Number,SDSEV82X900772
Software Version,6.9.13.1.1.6.7
Source,CH1
Second,Value
-8.4800000000E-07,-4.745834E+01
-8.4700000000E-07,-4.729166E+01
-8.4600000000E-07,-4.733334E+01
-8.4500000000E-07,-4.745834E+01
-8.4400000000E-07,-4.737500E+01
-8.4300000000E-07,-4.750000E+01
-8.4200000000E-07,-4.741667E+01
-8.4100000000E-07,-4.741667E+01
-8.4000000000E-07,-4.745834E+01
-8.3900000000E-07,-4.729166E+01
-8.3800000000E-07,-4.737500E+01
-8.3700000000E-07,-4.758333E+01
-8.3600000000E-07,-4.745834E+01
-8.3500000000E-07,-4.754166E+01
-8.3400000000E-07,-4.725000E+01
-8.3300000000E-07,-4.737500E+01
-8.3200000000E-07,-4.737500E+01
-8.3100000000E-07,-4.750000E+01
-8.3000000000E-07,-4.754166E+01
-8.2900000000E-07,-4.745834E+01
-8.2800000000E-07,-4.750000E+01
-8.2700000000E-07,-4.758333E+01
-8.2600000000E-07,-4.775000E+01
-8.2500000000E-07,-4.770834E+01
-8.2400000000E-07,-4.737500E+01
-8.2300000000E-07,-4.750000E+01
-8.2200000000E-07,-4.745834E+01
-8.2100000000E-07,-4.775000E+01
-8.2000000000E-07,-4.758333E+01
-8.1900000000E-07,-4.762500E+01
-8.1800000000E-07,-4.758333E+01
-8.1700000000E-07,-4.775000E+01
-8.1600000000E-07,-4.775000E+01
-8.1500000000E-07,-4.750000E+01
-8.1400000000E-07,-4.737500E+01
-8.1300000000E-07,-4.741667E+01
-8.1200000000E-07,-4.745834E+01
-8.1100000000E-07,-4.770834E+01
-8.1000000000E-07,-4.750000E+01
-8.0900000000E-07,-4.754166E+01
-8.0800000000E-07,-4.754166E+01
-8.0700000000E-07,-4.766667E+01
-8.0600000000E-07,-4.754166E+01
-8.0500000000E-07,-4.750000E+01
-8.0400000000E-07,-4.758333E+01
-8.0300000000E-07,-4.754166E+01
-8.0200000000E-07,-4.766667E+01
-8.0100000000E-07,-4.754166E+01
-8.0000000000E-07,-4.741667E+01
-7.9900000000E-07,-4.754166E+01
-7.9800000000E-07,-4.762500E+01
-7.9700000000E-07,-4.750000E+01
-7.9600000000E-07,-4.762500E+01
-7.9500000000E-07,-4.762500E+01
-7.9400000000E-07,-4.770834E+01
-7.9300000000E-07,-4.750000E+01
-7.9200000000E-07,-4.758333E+01
-7.9100000000E-07,-4.762500E+01
-7.9000000000E-07,-4.766667E+01
-7.8900000000E-07,-4.745834E+01
-7.8800000000E-07,-4.750000E+01
-7.8700000000E-07,-4.750000E+01
-7.8600000000E-07,-4.766667E+01
-7.8500000000E-07,-4.762500E+01
-7.8400000000E-07,-4.750000E+01
-7.8300000000E-07,-4.775000E+01
-7.8200000000E-07,-4.745834E+01
-7.8100000000E-07,-4.762500E+01
-7.8000000000E-07,-4.758333E+01
-7.7900000000E-07,-4.766667E+01
-7.7800000000E-07,-4.754166E+01
