Record Length,Analog:2000
Sample Interval,1.000000E-09
Vertical Units,V,
Vertical Scale,+5.000000E-01
Vertical Offset,-1.575000E+00
Horizontal Units,s
Horizontal Scale,+2.000000E-07
Model,SDS1204X HD
Serial Number,SDSEV82X900772
Software Version,6.9.13.1.1.6.7
Source,CH4
Second,Value
-1.0000000000E-06,+1.713542E+00
-9.9900000000E-07,+1.702083E+00
-9.9800000000E-07,+1.697917E+00
-9.9700000000E-07,+1.694792E+00
-9.9600000000E-07,+1.692708E+00
-9.9500000000E-07,+1.698958E+00
-9.9400000000E-07,+1.700000E+00
-9.9300000000E-07,+1.688542E+00
-9.9200000000E-07,+1.669792E+00
-9.9100000000E-07,+1.675000E+00
-9.9000000000E-07,+1.684375E+00
-9.8900000000E-07,+1.667708E+00
-9.8800000000E-07,+1.664583E+00
-9.8700000000E-07,+1.661458E+00
-9.8600000000E-07,+1.656250E+00
-9.8500000000E-07,+1.651042E+00
-9.8400000000E-07,+1.735417E+00
-9.8300000000E-07,+1.688542E+00
-9.8200000000E-07,+1.570833E+00
-9.8100000000E-07,+1.608333E+00
-9.8000000000E-07,+1.727083E+00
-9.7900000000E-07,+1.678125E+00
-9.7800000000E-07,+1.560417E+00
-9.7700000000E-07,+1.630208E+00
-9.7600000000E-07,+1.668750E+00
-9.7500000000E-07,+1.680208E+00
-9.7400000000E-07,+1.608333E+00
-9.7300000000E-07,+1.547917E+00
-9.7200000000E-07,+1.690625E+00
-9.7100000000E-07,+1.603125E+00
-9.7000000000E-07,+1.595833E+00
-9.6900000000E-07,+1.658333E+00
-9.6800000000E-07,+1.561458E+00
-9.6700000000E-07,+1.622917E+00
-9.6600000000E-07,+1.611458E+00
-9.6500000000E-07,+1.579167E+00
-9.6400000000E-07,+1.618750E+00
-9.6300000000E-07,+1.556250E+00
-9.6200000000E-07,+1.598958E+00
-9.6100000000E-07,+1.612500E+00
-9.6000000000E-07,+1.552083E+00
-9.5900000000E-07,+1.587500E+00
-9.5800000000E-07,+1.571875E+00
-9.5700000000E-07,+1.563542E+00
-9.5600000000E-07,+1.577083E+00
-9.5500000000E-07,+1.540625E+00
-9.5400000000E-07,+1.559375E+00
-9.5300000000E-07,+1.575000E+00
-9.5200000000E-07,+1.543750E+00
-9.5100000000E-07,+1.557292E+00
-9.5000000000E-07,+1.550000E+00
-9.4900000000E-07,+1.537500E+00
-9.4800000000E-07,+1.547917E+00
-9.4700000000E-07,+1.531250E+00
-9.4600000000E-07,+1.523958E+00
-9.4500000000E-07,+1.531250E+00
-9.4400000000E-07,+1.519792E+00
-9.4300000000E-07,+1.523958E+00
-9.4200000000E-07,+1.514583E+00
-9.4100000000E-07,+1.500000E+00
-9.4000000000E-07,+1.507292E+00
-9.3900000000E-07,+1.494792E+00
-9.3800000000E-07,+1.491667E+00
-9.3700000000E-07,+1.489583E+00
-9.3600000000E-07,+1.485417E+00
-9.3500000000E-07,+1.479167E+00
-9.3400000000E-07,+1.479167E+00
-9.3300000000E-07,+1.467708E+00
-9.3200000000E-07,+1.466667E+00
-9.3100000000E-07,+1.457292E+00
-9.3000000000E-07,+1.451042E+00
-9.2900000000E-07,+1.450000E+00
-9.2800000000E-07,+1.444792E+00
-9.2700000000E-07,+1.438542E+00
-9.2600000000E-07,+1.433333E+00
-9.2500000000E-07,+1.425000E+00
-9.2400000000E-07,+1.419792E+00
-9.2300000000E-07,+1.414583E+00
-9.2200000000E-07,+1.408333E+00
-9.2100000000E-07,+1.402083E+00
-9.2000000000E-07,+1.397917E+00
-9.1900000000E-07,+1.391667E+00
-9.1800000000E-07,+1.386458E+00
-9.1700000000E-07,+1.383333E+00
-9.1600000000E-07,+1.379167E+00
-9.1500000000E-07,+1.369792E+00
-9.1400000000E-07,+1.362500E+00
-9.1300000000E-07,+1.360417E+00
-9.1200000000E-07,+1.352083E+00
-9.1100000000E-07,+1.345833E+00
-9.1000000000E-07,+1.340625E+00
-9.0900000000E-07,+1.333333E+00
-9.0800000000E-07,+1.329167E+00
-9.0700000000E-07,+1.316667E+00
-9.0600000000E-07,+1.312500E+00
-9.0500000000E-07,+1.307292E+00
-9.0400000000E-07,+1.298958E+00
-9.0300000000E-07,+1.294792E+00
-9.0200000000E-07,+1.290625E+00
-9.0100000000E-07,+1.281250E+00
-9.0000000000E-07,+1.273958E+00
-8.9900000000E-07,+1.265625E+00
-8.9800000000E-07,+1.262500E+00
-8.9700000000E-07,+1.254167E+00
