Record Length,Analog:2000
Sample Interval,1.000000E-09
Vertical Units,V,
Vertical Scale,+5.000000E-01
Vertical Offset,+1.658333E+00
Horizontal Units,s
Horizontal Scale,+2.000000E-07
Model,SDS1204X HD
Serial Number,SDSEV82X900772
Software Version,6.9.13.1.1.6.7
Source,CH2
Second,Value
-1.0000000000E-06,-1.884375E+00
-9.9900000000E-07,-1.871875E+00
-9.9800000000E-07,-1.856250E+00
-9.9700000000E-07,-1.842708E+00
-9.9600000000E-07,-1.833333E+00
-9.9500000000E-07,-1.828125E+00
-9.9400000000E-07,-1.816667E+00
-9.9300000000E-07,-1.789583E+00
-9.9200000000E-07,-1.776042E+00
-9.9100000000E-07,-1.771875E+00
-9.9000000000E-07,-1.761458E+00
-9.8900000000E-07,-1.734375E+00
-9.8800000000E-07,-1.723958E+00
-9.8700000000E-07,-1.715625E+00
-9.8600000000E-07,-1.721875E+00
-9.8500000000E-07,-1.742708E+00
-9.8400000000E-07,-1.781250E+00
-9.8300000000E-07,-1.648958E+00
-9.8200000000E-07,-1.595833E+00
-9.8100000000E-07,-1.677083E+00
-9.8000000000E-07,-1.677083E+00
-9.7900000000E-07,-1.633333E+00
-9.7800000000E-07,-1.568750E+00
-9.7700000000E-07,-1.591667E+00
-9.7600000000E-07,-1.630208E+00
-9.7500000000E-07,-1.610417E+00
-9.7400000000E-07,-1.528125E+00
-9.7300000000E-07,-1.501042E+00
-9.7200000000E-07,-1.568750E+00
-9.7100000000E-07,-1.506250E+00
-9.7000000000E-07,-1.493750E+00
-9.6900000000E-07,-1.493750E+00
-9.6800000000E-07,-1.438542E+00
-9.6700000000E-07,-1.483333E+00
-9.6600000000E-07,-1.446875E+00
-9.6500000000E-07,-1.398958E+00
-9.6400000000E-07,-1.435417E+00
-9.6300000000E-07,-1.379167E+00
-9.6200000000E-07,-1.390625E+00
-9.6100000000E-07,-1.380208E+00
-9.6000000000E-07,-1.332292E+00
-9.5900000000E-07,-1.340625E+00
-9.5800000000E-07,-1.316667E+00
-9.5700000000E-07,-1.301042E+00
-9.5600000000E-07,-1.292708E+00
-9.5500000000E-07,-1.263542E+00
-9.5400000000E-07,-1.265625E+00
-9.5300000000E-07,-1.256250E+00
-9.5200000000E-07,-1.230208E+00
-9.5100000000E-07,-1.221875E+00
-9.5000000000E-07,-1.200000E+00
-9.4900000000E-07,-1.184375E+00
-9.4800000000E-07,-1.171875E+00
-9.4700000000E-07,-1.157292E+00
-9.4600000000E-07,-1.146875E+00
-9.4500000000E-07,-1.140625E+00
-9.4400000000E-07,-1.118750E+00
-9.4300000000E-07,-1.107292E+00
-9.4200000000E-07,-1.092708E+00
-9.4100000000E-07,-1.078125E+00
-9.4000000000E-07,-1.065625E+00
-9.3900000000E-07,-1.050000E+00
-9.3800000000E-07,-1.036458E+00
-9.3700000000E-07,-1.026042E+00
-9.3600000000E-07,-1.010417E+00
-9.3500000000E-07,-1.001042E+00
-9.3400000000E-07,-9.822917E-01
-9.3300000000E-07,-9.729167E-01
-9.3200000000E-07,-9.645834E-01
-9.3100000000E-07,-9.489584E-01
-9.3000000000E-07,-9.343750E-01
-9.2900000000E-07,-9.239584E-01
-9.2800000000E-07,-9.114584E-01
-9.2700000000E-07,-9.041667E-01
-9.2600000000E-07,-8.927084E-01
-9.2500000000E-07,-8.843750E-01
-9.2400000000E-07,-8.770834E-01
-9.2300000000E-07,-8.604168E-01
-9.2200000000E-07,-8.541667E-01
-9.2100000000E-07,-8.447917E-01
-9.2000000000E-07,-8.385417E-01
-9.1900000000E-07,-8.291667E-01
-9.1800000000E-07,-8.177084E-01
-9.1700000000E-07,-8.083334E-01
-9.1600000000E-07,-8.041667E-01
-9.1500000000E-07,-7.927084E-01
-9.1400000000E-07,-7.875001E-01
-9.1300000000E-07,-7.781250E-01
-9.1200000000E-07,-7.750000E-01
-9.1100000000E-07,-7.666667E-01
-9.1000000000E-07,-7.635417E-01
-9.0900000000E-07,-7.562500E-01
-9.0800000000E-07,-7.510417E-01
-9.0700000000E-07,-7.437500E-01
-9.0600000000E-07,-7.395834E-01
-9.0500000000E-07,-7.322917E-01
-9.0400000000E-07,-7.260417E-01
-9.0300000000E-07,-7.260417E-01
-9.0200000000E-07,-7.187501E-01
-9.0100000000E-07,-7.114584E-01
-9.0000000000E-07,-7.135417E-01
-8.9900000000E-07,-7.083334E-01
-8.9800000000E-07,-7.041667E-01
-8.9700000000E-07,-7.020833E-01
