Record Length,Analog:1000
Sample Interval,2.000000E-09
Vertical Units,V,
Vertical Scale,+5.000000E-01
Vertical Offset,+1.550000E+00
Horizontal Units,s
Horizontal Scale,+2.000000E-07
Model,SDS1204X HD
Serial Number,SDSEV82X900772
Software Version,6.9.13.1.1.6.7
Source,CH2
Second,Value
-1.0000000000E-06,-1.553125E+00
-9.9800000000E-07,-1.517708E+00
-9.9600000000E-07,-1.489583E+00
-9.9400000000E-07,-1.457292E+00
-9.9200000000E-07,-1.431250E+00
-9.9000000000E-07,-1.408333E+00
-9.8800000000E-07,-1.375000E+00
-9.8600000000E-07,-1.343750E+00
-9.8400000000E-07,-1.325000E+00
-9.8200000000E-07,-1.297917E+00
-9.8000000000E-07,-1.267708E+00
-9.7800000000E-07,-1.237500E+00
-9.7600000000E-07,-1.213542E+00
-9.7400000000E-07,-1.184375E+00
-9.7200000000E-07,-1.161458E+00
-9.7000000000E-07,-1.137500E+00
-9.6800000000E-07,-1.109375E+00
-9.6600000000E-07,-1.084375E+00
-9.6400000000E-07,-1.064583E+00
-9.6200000000E-07,-1.041667E+00
-9.6000000000E-07,-1.018750E+00
-9.5800000000E-07,-9.979167E-01
-9.5600000000E-07,-9.822917E-01
-9.5400000000E-07,-9.625000E-01
-9.5200000000E-07,-9.416667E-01
-9.5000000000E-07,-9.260417E-01
-9.4800000000E-07,-9.125000E-01
-9.4600000000E-07,-8.989583E-01
-9.4400000000E-07,-8.812500E-01
-9.4200000000E-07,-8.697916E-01
-9.4000000000E-07,-8.635417E-01
-9.3800000000E-07,-8.562500E-01
-9.3600000000E-07,-8.468750E-01
-9.3400000000E-07,-8.385417E-01
-9.3200000000E-07,-8.375000E-01
-9.3000000000E-07,-8.354167E-01
-9.2800000000E-07,-8.312500E-01
-9.2600000000E-07,-8.343750E-01
-9.2400000000E-07,-8.385417E-01
-9.2200000000E-07,-8.406250E-01
-9.2000000000E-07,-8.427083E-01
-9.1800000000E-07,-8.479167E-01
-9.1600000000E-07,-8.552083E-01
-9.1400000000E-07,-8.666667E-01
-9.1200000000E-07,-8.708333E-01
-9.1000000000E-07,-8.822917E-01
-9.0800000000E-07,-8.979166E-01
-9.0600000000E-07,-9.125000E-01
-9.0400000000E-07,-9.239584E-01
-9.0200000000E-07,-9.427083E-01
-9.0000000000E-07,-9.541667E-01
-8.9800000000E-07,-1.012500E+00
-8.9600000000E-07,-9.770833E-01
-8.9400000000E-07,-9.989583E-01
-8.9200000000E-07,-1.053125E+00
-8.9000000000E-07,-1.010417E+00
-8.8800000000E-07,-1.061458E+00
-8.8600000000E-07,-1.089583E+00
-8.8400000000E-07,-1.093750E+00
-8.8200000000E-07,-1.120833E+00
-8.8000000000E-07,-1.123958E+00
-8.7800000000E-07,-1.162500E+00
-8.7600000000E-07,-1.175000E+00
-8.7400000000E-07,-1.179167E+00
-8.7200000000E-07,-1.208333E+00
-8.7000000000E-07,-1.223958E+00
-8.6800000000E-07,-1.240625E+00
-8.6600000000E-07,-1.254167E+00
-8.6400000000E-07,-1.275000E+00
-8.6200000000E-07,-1.290625E+00
-8.6000000000E-07,-1.304167E+00
-8.5800000000E-07,-1.325000E+00
-8.5600000000E-07,-1.341667E+00
-8.5400000000E-07,-1.354167E+00
-8.5200000000E-07,-1.372917E+00
-8.5000000000E-07,-1.391667E+00
-8.4800000000E-07,-1.407292E+00
-8.4600000000E-07,-1.418750E+00
-8.4400000000E-07,-1.433333E+00
-8.4200000000E-07,-1.451042E+00
-8.4000000000E-07,-1.463542E+00
-8.3800000000E-07,-1.480208E+00
-8.3600000000E-07,-1.493750E+00
-8.3400000000E-07,-1.505208E+00
-8.3200000000E-07,-1.518750E+00
-8.3000000000E-07,-1.529167E+00
-8.2800000000E-07,-1.545833E+00
-8.2600000000E-07,-1.558333E+00
-8.2400000000E-07,-1.568750E+00
-8.2200000000E-07,-1.579167E+00
-8.2000000000E-07,-1.586458E+00
-8.1800000000E-07,-1.594792E+00
-8.1600000000E-07,-1.603125E+00
-8.1400000000E-07,-1.607292E+00
-8.1200000000E-07,-1.616667E+00
-8.1000000000E-07,-1.623958E+00
-8.0800000000E-07,-1.629167E+00
-8.0600000000E-07,-1.633333E+00
-8.0400000000E-07,-1.637500E+00
-8.0200000000E-07,-1.644792E+00
-8.0000000000E-07,-1.648958E+00
-7.9800000000E-07,-1.651042E+00
-7.9600000000E-07,-1.657292E+00
-7.9400000000E-07,-1.658333E+00
-7.9200000000E-07,-1.660417E+00
-7.9000000000E-07,-1.662500E+00
-7.8800000000E-07,-1.668750E+00
-7.8600000000E-07,-1.669792E+00
-7.8400000000E-07,-1.673958E+00
-7.8200000000E-07,-1.676042E+00
-7.8000000000E-07,-1.677083E+00
-7.7800000000E-07,-1.685417E+00
-7.7600000000E-07,-1.676042E+00
-7.7400000000E-07,-1.685417E+00
-7.7200000000E-07,-1.686458E+00
-7.7000000000E-07,-1.690625E+00
-7.6800000000E-07,-1.672917E+00
-7.6600000000E-07,-1.732292E+00
-7.6400000000E-07,-1.705208E+00
-7.6200000000E-07,-1.637500E+00
-7.6000000000E-07,-1.696875E+00
-7.5800000000E-07,-1.712500E+00
-7.5600000000E-07,-1.706250E+00
-7.5400000000E-07,-1.700000E+00
-7.5200000000E-07,-1.681250E+00
-7.5000000000E-07,-1.691667E+00
-7.4800000000E-07,-1.693750E+00
-7.4600000000E-07,-1.694792E+00
-7.4400000000E-07,-1.698958E+00
-7.4200000000E-07,-1.693750E+00
-7.4000000000E-07,-1.694792E+00
-7.3800000000E-07,-1.701042E+00
-7.3600000000E-07,-1.704167E+00
-7.3400000000E-07,-1.702083E+00
-7.3200000000E-07,-1.700000E+00
-7.3000000000E-07,-1.705208E+00
-7.2800000000E-07,-1.706250E+00
-7.2600000000E-07,-1.706250E+00
-7.2400000000E-07,-1.713542E+00
-7.2200000000E-07,-1.713542E+00
-7.2000000000E-07,-1.716667E+00
-7.1800000000E-07,-1.721875E+00
-7.1600000000E-07,-1.722917E+00
-7.1400000000E-07,-1.728125E+00
-7.1200000000E-07,-1.732292E+00
-7.1000000000E-07,-1.736458E+00
-7.0800000000E-07,-1.744792E+00
-7.0600000000E-07,-1.748958E+00
-7.0400000000E-07,-1.755208E+00
-7.0200000000E-07,-1.762500E+00
-7.0000000000E-07,-1.770833E+00
-6.9800000000E-07,-1.773958E+00
-6.9600000000E-07,-1.782292E+00
-6.9400000000E-07,-1.794792E+00
