Model;WT1800E
Comment;
Version;3.31
Date;2026/03/16
Time;12:45:49

<Settings>
Measurement Mode;Normal Mode
Sigma;SigmaA
Sigma Wiring;3P4W
Delta Measure Type;Star->Delta
Delta Measure Mode;RMS
Element;Element1;Element2;Element3;Element4;Element5;Element6
Module;1kV5A;1kV5A;1kV50A;1kV50A;1kV50A;1kV50A
Wiring;1P2W;1P2W;1P2W;SigmaA(3P4W);SigmaA(3P4W);SigmaA(3P4W)
Voltage Range;Auto;Auto;Auto;Auto;Auto;Auto
Terminal;Direct;Direct;Direct;Direct;Direct;Direct
Current Range;Auto;Auto;Auto;Auto;Auto;Auto
Sensor Preset;Others;Others;Others;Others;Others;Others
Sensor Ratio;10,0000;10,0000;10,0000;10,0000;10,0000;10,0000
Line Filter;Off;Off;Off;Off;Off;Off
Frequency Filter;Off;Off;Off;Off;Off;Off
Ct Preset;Others;Others;Others;Others;Others;Others
Scaling;On;On;On;On;On;On
Vt Ratio;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000
Ct Ratio;1,0000;1000,0000;1,0000;1,0000;1,0000;1,0000
Scaling Factor;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000
Sync Source;None;U4;U4;U4;U4;U4
WP Type;Charge/Discharge;Charge/Discharge;Charge/Discharge;Charge/Discharge;Charge/Discharge;Charge/Discharge
q Mode;dc;dc;dc;dc;dc;dc
Null U;Off;Off;Off;Off;Off;Off
Null I;Off;Off;Off;Off;Off;Off
Element Independent;Off
Average;Lin;20
F1(Avg-W);Off
F2(P-loss);P(E3)-P(E4)-P(E5)-P(E6);Unit;W
F3(U-ripple);Off
F4(I-ripple);Off
F5(D-UrmsR);Off
F6(etaBuck);(P(E2)/(P(E1)+P(E3)))*100;Unit;%
F7(etaNurBk);(P(E2)/P(E3))*100;Unit;%
F8(ploss);P(E3)-P(E2);Unit;W
F9(Vout/Vin);U(E2)/U(E3);Unit;
F10(D-UmnT);Off
F11(PhiU3-U2);Off
F12(PhiI1-I2);Off
F13(PhiI2-I3);Off
F14(PhiI3-I1);Off
F15(Pp-p);Off
F16(F16);Off
F17(F17);Off
F18(F18);Off
F19(F19);Off
F20(F20);Off
Evt1(Ev1);Off
Evt2(Ev2);Off
